idna_subject,checker_type,destination,tested_at
aghchnfzt.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 13:33:23.556363
agkxwjwutrhw.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 13:36:26.368960
agpiysffnuld.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 14:40:35.671244
agqjjcwm.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 14:43:12.581724
agrammemarg.info,AVAILABILITY,easylist_adservers.txt,2021-01-29 14:45:49.587562
agzfxovg.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 14:48:26.939280
agzlxyylf.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 14:51:23.790369
ahbcagaazvtuh.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 14:54:19.580924
ahcnxuepput.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 14:56:56.197309
ahneiwkpsnxign.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 14:59:34.004089
ahqpqpdjpj.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 15:02:34.645223
ahrcwekji.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 15:05:11.500879
ahtkajcs.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 15:07:48.164656
ahwzvnqc.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 15:10:24.589946
ahyhhxpeeswgtl.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 15:13:27.584626
ahzdlvsli.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 15:16:27.779125
aichaima.top,AVAILABILITY,easylist_adservers.txt,2021-01-29 15:19:10.253344
aidjodlthdaxq.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 15:22:07.823773
aifoosty.net,AVAILABILITY,easylist_adservers.txt,2021-01-29 15:24:46.150357
aiidbowoj.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:10:09.312010
ailwayssteverin.info,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:12:51.908482
aimaniape.club,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:15:36.413921
aioemfxj.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:18:19.331427
airsanguages.info,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:21:03.752229
airstossiplarge.info,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:23:50.430978
aj2073.online,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:27:22.386612
ajcsjktzlqh.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:30:03.947481
